"id","part_number","name","price","currency_id"
1,35021,"Nokia 1650, 1680 Classic - дисплей (original)",300,1
2,37758,"Nokia 2220 Slide, 2320, 2330, 2323 Classic, 2680 Slide, 2690 - дисплей (original)",450,1
3,33947,"Nokia 2600 Classic, 2630, 2660 (big), 2760 - дисплей в оправе (original)",300,1
4,29568,"Nokia 2610, 2626 - дисплей (original)",120,1
5,34603,"Nokia 2660, 2760 - дисплей  внешний (small, original)",250,1
6,37760,"Nokia 2700 Classic, 2730 Classic - дисплей (original)",550,1
7,42516,"Nokia 2710 Navigator - дисплей в оправе (original)",650,1
8,37764,"Nokia 2720 Fold - дисплей внешний (small, original)",100,1
9,37763,"Nokia 2720 Fold - дисплей внутренний (big, original)",100,1
10,45711,"Nokia 300 Asha - дисплей в оправе (original)",700,1
11,45918,"Nokia 303 Asha - дисплей в оправе (original)",700,1
12,33501,"Nokia 3109 Classic, 3110 Classic, 3500 Classic - дисплей (original)",450,1
13,35018,"Nokia 3120 Classic, 3600 Slide - дисплей (original)",950,1
14,27023,"Nokia 3220 - дисплей в оправе (original)",240,1
15,34990,"Nokia 3610 Fold  - дисплей внутренний (big, original)",550,1
16,35430,"Nokia 3610 Fold - дисплей внешний (small, original)",700,1
17,39154,"Nokia 3710 Fold - дисплей модуль (2LCD, original)",440,1
18,43119,"Nokia 3720 Classic - дисплей (original)",850,1
19,35579,"Nokia 500, 5228, 5230, 5235, 5800, 5800 Navigator - дисплей в оправе (original) (F)",1350,1
21,34804,"Nokia 5000, 5130 XpressMusic, 5220 XpressMusic - дисплей (original)",550,1
22,34796,"Nokia 5140i - дисплей (original)",120,1
23,32343,"Nokia 5200, 5070 - дисплей в оправе (big, original)",550,1
24,43782,"Nokia 5250 - дисплей (original) (F)",1250,1
25,33949,"Nokia 5310 - дисплей (original)",950,1
26,34805,"Nokia 5320 XpressMusic - дисплей (original)",850,1
27,37470,"Nokia 5330, 5730 XpressMusic - дисплей в оправе (original)",950,1
28,37639,"Nokia 5530 XpressMusic - дисплей (original) (A)",1100,1
29,33344,"Nokia 5700, 5610, 5630 XpressMusic - дисплей (original)",850,1
30,35632,"Nokia 6020, 6021 - дисплей в оправе (original)",240,1
31,46084,"Nokia 603 - дисплей (original)",120,1
32,34922,"Nokia 6030 - дисплей (original)",120,1
33,28097,"Nokia 6060, 6070, 6080, 6085, 6101, 6103, 6125, 6136, 6151 - дисплей в оправе (big, original)",550,1
34,33075,"Nokia 6085 - дисплей  внешний (small, original)",250,1
